Gene	Exon_coord	Upstream_exon_coord	Downstream_exon_coord	hHistology
COPB2-DT	139459931-139459985	139423015-139423114	139561652-139561748	Low-grade glioma
CEP170	243191018-243191494	243185778-243186422	243199059-243199194	Low-grade glioma
P2RX7	121167488-121167624	121166057-121166187	121175387-121175478	Low-grade glioma
VPS26C	37240496-37240639	37238204-37238609	37267237-37267318	Low-grade glioma
XPO1	61537562-61537587	61533771-61533903	61538491-61538626	Low-grade glioma
XPO1	61537562-61537668	61533771-61533903	61538491-61538516	Low-grade glioma
DHRS3	12572728-12572853	12567909-12568424	12578717-12578956	Low-grade glioma
ENSG00000258926	61538973-61539187	61535392-61537906	61542622-61542717	Low-grade glioma
ZNF559-ZNF177	9364862-9364948	9341101-9341184	9376315-9376423	Low-grade glioma
FAM166B	35563166-35563389	35562874-35563080	35563766-35563878	Low-grade glioma
ABCC1	16083366-16083542	16079351-16079478	16090404-16090588	Low-grade glioma
PPP1R42	66982049-66982180	66964102-66964334	66988399-66988517	Low-grade glioma
DBT	100215983-100216199	100214816-100214983	100218625-100218747	Low-grade glioma
PDZD2	32097279-32097380	32092906-32093024	32098363-32098634	Low-grade glioma
CNIH3	224583164-224583267	224566198-224566264	224680957-224681026	Low-grade glioma
TOGARAM1	45046545-45046703	45044634-45044870	45052435-45052562	Low-grade glioma
CREBBP	3850297-3851009	3810602-3810779	3879831-3880120	Low-grade glioma
EXOC6B	72559453-72559521	72515042-72515126	72575491-72575668	Low-grade glioma
SLFN11	35367603-35367700	35366946-35367043	35373473-35373621	Low-grade glioma
MYRIP	40162730-40162810	40151047-40151184	40166845-40166943	Low-grade glioma
ABCC3	50667863-50668009	50667553-50667757	50668429-50668517	Low-grade glioma
MNDA	158845587-158846003	158843954-158844122	158847727-158847916	Low-grade glioma
AASDH	56382477-56382597	56378147-56378464	56384069-56384341	Low-grade glioma
CNOT10	32734800-32734976	32733422-32733544	32759457-32759571	Low-grade glioma
USH1C	17533255-17533322	17531398-17531542	17544271-17544400	Low-grade glioma
USP13	179681878-179682003	179653031-179653393	179706933-179707076	Low-grade glioma
INPP5F	119781635-119781771	119750876-119751156	119791868-119792036	Low-grade glioma
FHIT	59922346-59922414	59751406-59752321	60011370-60011400	Low-grade glioma
SAC3D1	65041286-65041866	65040900-65041106	65044224-65044799	Low-grade glioma
HYAL3	50293632-50293721	50292831-50293515	50294708-50294853	Low-grade glioma
VTA1	142166228-142166322	142147161-142147399	142169549-142169677	Low-grade glioma
COL8A1	99675660-99675721	99638474-99638664	99744896-99745021	Low-grade glioma
C2orf80	208182965-208183047	208181217-208181305	208186945-208187016	Low-grade glioma
PLB1	28603966-28604047	28602820-28602921	28604654-28604759	Low-grade glioma
SLC37A3	140351273-140351451	140348625-140348767	140355667-140355764	Low-grade glioma
ENSG00000283352	57961152-57961224	57959027-57959111	57961320-57961382	Low-grade glioma
PLAC8	83107804-83107950	83104895-83105020	83114665-83114715	Low-grade glioma
ZNF114	48281552-48281689	48279730-48279808	48282370-48282405	Low-grade glioma
MIR100HG	122155551-122155632	122089120-122091719	122180335-122180398	Low-grade glioma
EIF4ENIF1	31450289-31450360	31449347-31449531	31454143-31454376	Low-grade glioma
ZNF274	58186947-58187042	58183071-58183442	58206719-58207089	Low-grade glioma
ZNF562	9658009-9658135	9656546-9656653	9659378-9659467	Low-grade glioma
FXR1	180970158-180970358	180968050-180968254	180976121-180976418	Low-grade glioma
SLC30A6	32209493-32209561	32206885-32206933	32220212-32221524	Low-grade glioma
DPY19L4	94734630-94734754	94719899-94720014	94738368-94738459	Low-grade glioma
ZCCHC4	25314046-25314164	25312773-25312936	25315317-25315400	Low-grade glioma
RPLP0	120198554-120198739	120197321-120197462	120198894-120199000	Low-grade glioma
RPLP0	120198554-120198770	120197321-120197462	120198894-120199000	Low-grade glioma
NCOR2	124486441-124486568	124483595-124483773	124495146-124495252	Low-grade glioma
SEMA4B	90201458-90201735	90184962-90185081	90217438-90217554	Low-grade glioma
CCDC9B	40335784-40335826	40331451-40335700	40336573-40336664	Low-grade glioma
SEC14L6	30531903-30531998	30529288-30529349	30532796-30532856	Low-grade glioma
AKR1E2	4833350-4833466	4830674-4830842	4835674-4835809	Low-grade glioma
TRAF4	28748017-28748135	28747842-28747947	28748261-28748423	Low-grade glioma
TRAF4	28748017-28748178	28747729-28747947	28748261-28748297	Low-grade glioma
MOG	29659324-29659666	29657001-29657297	29666151-29666260	Low-grade glioma
SLC44A3-AS1	94679425-94679607	94638436-94638558	94732257-94732437	Low-grade glioma
RAB3A	18198725-18198849	18196783-18197660	18200326-18200445	Low-grade glioma
PIBF1	72827733-72827914	72827009-72827118	72835242-72835368	Low-grade glioma
ERBB3	56098759-56098905	56097784-56097940	56099647-56099745	Low-grade glioma
NKAIN1	31185247-31185327	31183816-31184014	31188049-31188187	Low-grade glioma
PTH1R	46893907-46894009	46883356-46883634	46895734-46895869	Low-grade glioma
H3-3B	75779047-75779184	75778637-75778963	75779656-75779758	Low-grade glioma
ZMAT3	178982369-178982465	178965444-178965496	179004060-179004184	Low-grade glioma
SPATS2L	200383867-200384017	200372108-200372251	200389222-200389283	Low-grade glioma
GRB10	50755887-50756056	50710874-50710990	50793223-50793313	Low-grade glioma
COL11A1	103022742-103022996	103021706-103021769	103025520-103025613	Low-grade glioma
RBM14-RBM4	66643450-66644140	66616625-66617057	66646026-66646469	Low-grade glioma
KIAA1755	38245929-38246126	38231201-38231325	38260497-38260735	Low-grade glioma
ACAT1	108135142-108135242	108134220-108134316	108138897-108139041	Low-grade glioma
EEF2KMT	5093484-5093564	5091793-5091895	5095451-5095514	Low-grade glioma
BTN3A3	26443367-26443442	26440471-26440648	26443569-26443659	Low-grade glioma
KIAA1191	176355571-176355749	176350612-176350737	176359480-176359567	Low-grade glioma
GRB10	50705140-50705323	50703820-50703908	50782423-50782445	Low-grade glioma
PARP8	50794853-50795417	50794206-50794332	50796981-50797032	Low-grade glioma
PARVA	12496458-12496598	12477846-12477949	12504313-12504429	Low-grade glioma
HDAC10	50249103-50249168	50248830-50248890	50249327-50249454	Low-grade glioma
CDK5RAP1	33395013-33395116	33394031-33394066	33401427-33401505	Low-grade glioma
RARS2	87541918-87541994	87530783-87530942	87555407-87555505	Low-grade glioma
NR2F1-AS1	93438703-93438741	93409366-93411509	93496056-93496103	Low-grade glioma
C17orf49	7016950-7017014	7016494-7016525	7017256-7017304	Low-grade glioma
DDX60L	168419302-168419397	168416681-168416797	168420260-168420380	Low-grade glioma
NECAB1	90951113-90951204	90949806-90949884	90955486-90955818	Low-grade glioma
ADD2	70683591-70683767	70678703-70678961	70688023-70688122	Low-grade glioma
SLC25A39	44322808-44322852	44322418-44322528	44323283-44323343	Low-grade glioma
ZNF100	21744017-21744112	21726192-21727989	21744940-21745067	Low-grade glioma
RNF24	3974332-3974400	3963874-3964024	4015144-4015389	Low-grade glioma
DENND2A	140555636-140555713	140546798-140546939	140558142-140558212	Low-grade glioma
ING4	6652271-6652309	6651323-6651385	6652661-6652767	Low-grade glioma
ABHD2	89193235-89193319	89191079-89191149	89195226-89195751	Low-grade glioma
UBXN2B	58433160-58433243	58430518-58430669	58434394-58434504	Low-grade glioma
GFAP	44910092-44910658	44908063-44908149	44911235-44911303	Low-grade glioma
ANK3	60073872-60076454	60067934-60068009	60080572-60080618	Low-grade glioma
UBE2Q2	75873428-75873568	75868950-75869010	75883365-75883424	Low-grade glioma
HADHA	26232160-26232279	26230191-26230294	26234216-26234355	Low-grade glioma
LINC02693	21550996-21551116	21529257-21535538	21573225-21573735	Low-grade glioma
GPR158	25412250-25412473	25395910-25396013	25466650-25466719	Low-grade glioma
CCDC170	151573174-151573491	151548303-151548489	151585888-151586089	Low-grade glioma
ZNF133	18298289-18298464	18297984-18298062	18305007-18305178	Low-grade glioma
PCDH10-DT	133140586-133140659	133139824-133139881	133142710-133142782	Low-grade glioma
ENSG00000225096	57962131-57962248	57961602-57961742	57971594-57971656	Low-grade glioma
PTAR1	69732139-69732352	69723325-69723630	69734149-69734254	Low-grade glioma
PRUNE2	76850463-76850665	76846514-76846678	76854103-76854208	Low-grade glioma
NF2	29636751-29636876	29603555-29604112	29642201-29642285	Low-grade glioma
WDR11-AS1	120830219-120830343	120776734-120776884	120851106-120851209	Low-grade glioma
PODNL1	13934254-13934410	13933877-13933993	13935720-13935830	Low-grade glioma
LINC01727	21612548-21612683	21569952-21570248	21615382-21615527	Low-grade glioma
METTL6	15414021-15414162	15409759-15411437	15415497-15415583	Low-grade glioma
CLUHP3	31705672-31705792	31705348-31705472	31705889-31705994	Low-grade glioma
KNTC1	122601536-122601625	122597242-122597938	122602568-122602740	Low-grade glioma
HSD17B6	56773834-56774165	56763203-56763414	56781973-56782232	Low-grade glioma
STT3A	125597059-125597119	125592866-125592918	125602302-125602424	Low-grade glioma
RBM4B	66668615-66669291	66664997-66665578	66676667-66677091	Low-grade glioma
ZXDC	126459653-126459737	126439631-126439727	126461534-126462220	Low-grade glioma
THBS2	169234734-169234907	169232889-169233017	169237169-169237346	Low-grade glioma
DHRS11	36594971-36595180	36591878-36592156	36598162-36598257	Low-grade glioma
TMEM241	23421367-23421444	23399565-23399647	23437780-23437939	Low-grade glioma
CA8	60232284-60232379	60226872-60226935	60265924-60266049	Low-grade glioma
NEO1	73301321-73301457	73298347-73298611	73302612-73302718	Low-grade glioma
CROCCP2	16633095-16633346	16632274-16632371	16635026-16635168	Low-grade glioma
SEPTIN4	58526932-58526978	58526314-58526410	58531960-58532065	Low-grade glioma
TLE1	81652214-81652288	81633468-81634301	81685675-81685720	Low-grade glioma
ZNF264	57191699-57191946	57191500-57191527	57193874-57193958	Low-grade glioma
COL21A1	56067295-56067330	56064577-56064622	56069045-56069117	Low-grade glioma
ZNF446	58479643-58479727	58478086-58478181	58479929-58480019	Low-grade glioma
STK32A-AS1	147201977-147202151	147180203-147180744	147234712-147234859	Low-grade glioma
ANKRD28	15724382-15724524	15720914-15721127	15735409-15735497	Low-grade glioma
ZNF577	51886821-51886912	51880678-51880877	51887895-51887951	Low-grade glioma
AKR1A1	45561789-45561878	45552435-45552563	45566568-45566688	Low-grade glioma
PDSS2	107212109-107212282	107193821-107193854	107245547-107245619	Low-grade glioma
MKRN1	140459007-140459233	140456185-140456866	140471882-140472011	Low-grade glioma
SF3A3	37960120-37960175	37956974-37958263	37968043-37968134	Low-grade glioma
WTAP	159742088-159742146	159738989-159739045	159743664-159743792	Low-grade glioma
FAM86DP	75430832-75430914	75426449-75426599	75432807-75432870	Low-grade glioma
ZNF821	71864903-71865048	71864137-71864242	71867892-71868037	Low-grade glioma
ST3GAL3	43920404-43920550	43899335-43899727	43930131-43931122	Low-grade glioma
MYCBP2	77118340-77118495	77097369-77099013	77121372-77121495	Low-grade glioma
PLSCR4	146222065-146222092	146220814-146220925	146250556-146250637	Low-grade glioma
DMXL2	51451645-51451697	51450128-51450346	51453549-51453641	Low-grade glioma
HMGN1	39347379-39347483	39345145-39345274	39347915-39347952	Low-grade glioma
ELK3	96259731-96259853	96246939-96247734	96267081-96267357	Low-grade glioma
PODNL1	13934254-13934385	13933877-13933993	13935720-13935830	Low-grade glioma
TMEM230	5109332-5109445	5106187-5106310	5112960-5113087	Low-grade glioma
CADPS	62499162-62499268	62492289-62492446	62516058-62516182	Low-grade glioma
ZNF691	42849291-42849413	42846572-42846657	42849564-42849742	Low-grade glioma
HSPBAP1	122777721-122777906	122768700-122768882	122793616-122793714	Low-grade glioma
DUOXA1	45121087-45121221	45120591-45120805	45122184-45122242	Low-grade glioma
SPAST	32144937-32145007	32143335-32143415	32147217-32147258	Low-grade glioma
WDR19	39186539-39186604	39185725-39185817	39189655-39189781	Low-grade glioma
CCT6B	34942796-34942906	34942483-34942643	34951949-34952053	Low-grade glioma
BCL2L11	111123733-111124139	111120913-111121188	111150043-111150147	Low-grade glioma
CACNA1G	50602820-50602888	50601050-50601174	50603014-50603199	Low-grade glioma
SERBP1	67424888-67424959	67424199-67424277	67425082-67425223	Low-grade glioma
NDUFA7	8316496-8316645	8311283-8311595	8320856-8320906	Low-grade glioma
TNXB	32070127-32070414	32069552-32069861	32073646-32073952	Low-grade glioma
SIRT5	13595477-13595564	13591668-13591894	13596962-13597016	Low-grade glioma
DNAJC11	6678394-6678467	6666596-6667810	6680907-6681037	Low-grade glioma
IL17RB	53851999-53852126	53848663-53848688	53852870-53852997	Low-grade glioma
ENSG00000275778	10973655-10973721	10848371-10848407	11047019-11047188	Low-grade glioma
CEP70	138498031-138498110	138494343-138495076	138500109-138500180	Low-grade glioma
PAQR6	156245535-156245661	156245153-156245277	156245781-156245987	Low-grade glioma
ETV7	36375871-36376035	36373452-36373578	36385533-36385669	Low-grade glioma
MTMR9LP	32241137-32241261	32239868-32240664	32241406-32241619	Low-grade glioma
CSGALNACT2	43163866-43164044	43160493-43160595	43167003-43167098	Low-grade glioma
PHF20	35801491-35801605	35772014-35772079	35842572-35842744	Low-grade glioma
ENTPD6	25207079-25207397	25196153-25196254	25209848-25209925	Low-grade glioma
MRPL10	47829139-47829236	47828500-47828670	47831310-47831523	Low-grade glioma
CD22	35337755-35338021	35336035-35336341	35340880-35341138	Low-grade glioma
TACC1	38742351-38742451	38728587-38728671	38787556-38787743	Low-grade glioma
TNFRSF25	6463072-6463127	6462862-6462970	6464374-6464453	Low-grade glioma
PIGS	28556166-28556266	28554850-28555061	28556826-28556972	Low-grade glioma
GAB2	78250157-78250400	78226464-78227051	78280600-78280901	Low-grade glioma
NAPA	47500633-47500749	47495549-47495596	47503422-47503502	Low-grade glioma
NTRK2	84861040-84861087	84751985-84752085	84867242-84867431	Low-grade glioma
FRY	31946009-31946181	31846712-31846939	32078833-32079033	Low-grade glioma
RNF175	153748645-153748786	153728206-153728361	153751437-153751475	Low-grade glioma
SIGIRR	408695-408893	408072-408206	409867-409977	Low-grade glioma
EGFL7	136670169-136670330	136669913-136670009	136670949-136671014	Low-grade glioma
MAP3K5	136720450-136720589	136705109-136705133	136791709-136792477	Low-grade glioma
PARD3	34284135-34284245	34131462-34131583	34317106-34317338	Low-grade glioma
RABEP1	5338019-5338138	5335183-5335344	5346789-5346925	Low-grade glioma
PLXNC1	94298632-94298795	94297315-94297423	94300909-94301057	Low-grade glioma
POLL	101585862-101586156	101584610-101584919	101587245-101587382	Low-grade glioma
RUSC1	155325567-155325672	155325101-155325490	155325863-155325910	Low-grade glioma
RUSC1	155325601-155325672	155325315-155325490	155325863-155325910	Low-grade glioma
NOP14-AS1	2938693-2938792	2935139-2937844	2940301-2940351	Low-grade glioma
GALNT10	154404104-154404211	154386312-154386430	154409540-154409639	Low-grade glioma
THRB	24297226-24297323	24228937-24229001	24318357-24318494	Low-grade glioma
WASF3	26612961-26613058	26557682-26557819	26642260-26642403	Low-grade glioma
PCBP3	45744231-45744337	45735391-45735429	45749380-45749475	Low-grade glioma
POLR2J3	102569835-102569924	102566996-102568184	102572471-102572539	Low-grade glioma
LINC00630	102770352-102770420	102769157-102769341	102816991-102817082	Low-grade glioma
ABAT	8735699-8735809	8712968-8713865	8746000-8746025	Low-grade glioma
AMT	49422104-49422257	49421491-49421572	49422360-49422377	Low-grade glioma
AMT	49422104-49422271	49418605-49421572	49422360-49422393	Low-grade glioma
RABEPK	125220539-125220700	125203007-125203066	125227909-125228059	Low-grade glioma
PSD	102405346-102405536	102405182-102405253	102407222-102407266	Low-grade glioma
CYBB	37793665-37793810	37791974-37792059	37795950-37796141	Low-grade glioma
GIMAP8	150474012-150474638	150470828-150470874	150477091-150479393	Low-grade glioma
IL10RA	117989442-117989620	117986736-117988502	117993240-117993410	Low-grade glioma
CEP162	84169328-84169433	84163143-84163270	84171605-84171718	Low-grade glioma
PLB1	28605853-28605948	28604654-28604759	28606495-28606567	Low-grade glioma
TAX1BP1	27765834-27766021	27758030-27758133	27769675-27769834	Low-grade glioma
CDC40	110201558-110201687	110193181-110193268	110207505-110207589	Low-grade glioma
SOS2	50174454-50174552	50161481-50161609	50180571-50180654	Low-grade glioma
DNAJC4	64232704-64232865	64232429-64232614	64233893-64233980	Low-grade glioma
TENT2	79623252-79623489	79619993-79620083	79640850-79640965	Low-grade glioma
EDA2R	66605048-66605226	66604420-66604506	66615933-66616020	Low-grade glioma
ACYP2	54050958-54051050	53973712-53973810	54057238-54057360	Low-grade glioma
MAPKAPK5	111866156-111866231	111865249-111865323	111867571-111867669	Low-grade glioma
ATXN1	16657776-16657901	16585779-16585907	16753232-16753308	Low-grade glioma
SNAP91	83594374-83594481	83593477-83593741	83601270-83601438	Low-grade glioma
SLC7A1	29535819-29536202	29532823-29532982	29553760-29553860	Low-grade glioma
FAM20B	179054529-179054638	179050278-179050365	179063926-179064098	Low-grade glioma
